Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,112.0,,53.1%,,14.2%,,26.0%,,21.3,,112.0,,53.1%,,14.2%,,26.0%,,21.3
PHI,James Harden,Tyrese Maxey,Danny Green,Tobias Harris,Joel Embiid,352,75,+11.0,58,116.2,67,56.4%,38,13.9%,38,22.9%,92,28.2,71,105.2,83,49.7%,38,12.1%,71,22.4%,75,14.2
PHX,Chris Paul,Devin Booker,Mikal Bridges,Jae Crowder,Deandre Ayton,342,38,-1.3,50,114.0,46,54.3%,42,13.7%,62,26.5%,54,20.0,29,115.4,33,55.5%,46,12.8%,38,28.2%,71,15.0
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,339,88,+17.1,71,118.3,54,54.7%,46,13.0%,92,35.1%,4,10.7,83,101.2,92,48.0%,42,12.2%,75,20.4%,46,17.3
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Grant Williams,Al Horford,326,17,-7.7,29,107.4,29,51.6%,12,18.1%,75,29.0%,58,20.4,33,115.1,75,50.6%,12,9.5%,25,29.4%,50,17.0
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Al Horford,Robert Williams,293,62,+7.2,38,109.6,38,53.1%,25,15.7%,71,28.9%,42,19.6,75,102.4,79,50.2%,25,11.6%,67,23.3%,92,11.5
DAL,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,Dwight Powell,277,50,+4.2,54,114.4,75,58.5%,54,12.6%,33,22.3%,50,19.7,58,110.3,71,51.0%,33,12.1%,42,27.9%,62,16.0
BOS,Marcus Smart,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,241,33,-3.8,33,109.5,25,50.7%,17,16.2%,21,21.0%,79,26.1,46,113.3,29,55.5%,96,17.9%,33,28.3%,29,19.7
DAL,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,Maxi Kleber,236,58,+6.5,62,116.5,50,54.7%,71,11.0%,25,21.1%,38,18.6,62,110.0,17,58.6%,92,17.5%,50,25.3%,25,21.4
MIA,Gabe Vincent,Max Strus,Jimmy Butler,PJ Tucker,Bam Adebayo,234,92,+19.2,75,120.1,42,54.1%,67,11.5%,88,33.3%,12,13.9,88,100.9,58,52.6%,79,16.2%,79,19.8%,67,15.3
MIA,Kyle Lowry,Max Strus,Jimmy Butler,PJ Tucker,Bam Adebayo,219,42,+2.2,12,100.5,8,46.5%,50,12.8%,42,23.6%,25,15.8,92,98.2,96,47.8%,67,14.7%,83,18.3%,0,27.9
GSW,Stephen Curry,Jordan Poole,Klay Thompson,Andrew Wiggins,Draymond Green,218,83,+16.2,88,131.2,83,60.1%,75,10.1%,50,24.2%,88,27.8,38,115.0,67,51.5%,58,14.6%,12,32.2%,21,21.9
MIN,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Jarred Vanderbilt,Karl-Anthony Towns,202,21,-7.1,17,105.0,33,52.2%,8,18.3%,58,25.3%,96,31.4,54,112.1,50,54.1%,62,14.6%,0,33.6%,83,14.1
NOP,CJ McCollum,Brandon Ingram,Herbert Jones,Jaxson Hayes,Jonas Valanciunas,200,12,-11.3,25,106.5,12,48.9%,62,12.0%,83,32.7%,21,15.3,17,117.8,38,55.2%,0,6.1%,92,11.3%,58,16.4
DEN,Monte Morris,Will Barton,Aaron Gordon,Jeff Green,Nikola Jokic,196,4,-17.2,42,109.7,21,50.3%,21,15.8%,96,37.8%,71,21.6,4,126.9,0,63.1%,21,10.9%,62,24.2%,54,16.9
UTA,Mike Conley,Donovan Mitchell,Royce O'Neale,Bojan Bogdanovic,Rudy Gobert,167,8,-15.0,0,94.0,0,41.7%,58,12.6%,50,24.2%,62,21.2,67,109.0,46,54.3%,17,9.6%,100,9.2%,12,23.2
CHI,Alex Caruso,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,141,0,-22.0,4,95.7,4,44.3%,83,7.8%,4,14.8%,17,14.5,21,117.7,8,62.1%,75,15.6%,54,24.6%,79,14.2
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Otto Porter,Draymond Green,141,79,+14.5,96,135.5,100,67.6%,33,14.9%,29,22.2%,67,21.3,8,121.0,21,57.4%,50,13.3%,17,29.9%,33,19.4
