Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,24.1,NYK,Big,1144,23.4,34,55.4%,74,66%,37,17%,38,2%,33,19%,63,9%,41,7%,43,15%
Precious Achiuwa,24.1,TOR,Big,424,17.0,15,51.5%,54,51%,51,21%,43,2%,43,23%,66,10%,58,16%,55,26%
Bam Adebayo,26.3,MIA,Big,2415,34.0,21,52.9%,32,35%,99,47%,92,14%,99,61%,25,1%,31,3%,28,3%
Ochai Agbaji,23.5,TOR,Wing,610,22.6,7,44.0%,96,50%,33,12%,25,3%,22,15%,59,18%,17,17%,21,35%
Ochai Agbaji,23.5,UTA,Wing,956,18.7,42,52.5%,57,29%,36,13%,23,2%,25,16%,83,26%,45,29%,66,55%
Santi Aldama,22.8,MEM,Big,1614,26.5,23,52.9%,19,28%,41,18%,52,3%,38,20%,83,16%,85,35%,88,52%
Nickeil Alexander-Walker,25.2,MIN,Wing,1887,23.0,72,56.7%,33,22%,40,13%,50,5%,37,18%,95,31%,47,29%,76,60%
Grayson Allen,28.1,PHX,Wing,2505,33.4,97,65.0%,46,25%,33,12%,11,1%,17,13%,61,19%,80,43%,78,61%
Jarrett Allen,25.5,CLE,Big,2441,31.7,81,63.4%,76,66%,78,29%,63,4%,74,33%,21,0%,22,0%,19,1%
Timmy Allen,23.8,MEM,Combo,122,24.4,0,31.6%,19,14%,98,43%,97,24%,99,67%,71,14%,3,5%,5,19%
Jose Alvarado,25.6,NOP,Point,920,17.1,51,53.2%,42,20%,30,19%,7,3%,12,22%,93,17%,74,40%,88,57%
Kyle Anderson,30.1,MIN,Wing,1769,22.4,12,47.4%,51,27%,100,58%,48,5%,100,63%,13,7%,0,2%,0,10%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,35.1,96,62.7%,98,66%,44,18%,71,9%,60,27%,0,0%,2,7%,0,7%
Cole Anthony,23.5,ORL,Point,1775,21.9,28,50.0%,53,24%,81,31%,72,12%,79,44%,56,7%,26,25%,28,32%
OG Anunoby,26.3,TOR,Wing,900,33.3,81,58.6%,63,33%,32,12%,62,7%,41,19%,68,21%,41,27%,55,48%
OG Anunoby,26.3,NYK,Wing,796,34.6,72,56.7%,87,43%,38,13%,49,5%,36,18%,78,24%,9,14%,30,39%
Deni Avdija,22.8,WAS,Wing,2250,30.0,70,56.3%,92,47%,78,23%,45,4%,64,27%,14,7%,20,18%,9,26%
Deandre Ayton,25.3,POR,Big,1783,32.4,48,57.2%,28,35%,96,39%,98,25%,99,64%,23,1%,26,1%,21,1%
Ibou Badji,21.1,POR,Big,192,10.7,82,63.6%,70,65%,73,27%,81,8%,78,35%,0,0%,0,0%,0,0%
Marvin Bagley,24.6,WAS,Big,572,23.8,69,59.7%,75,66%,66,25%,45,2%,55,27%,39,2%,37,4%,33,7%
Marvin Bagley,24.6,DET,Big,465,17.9,66,59.0%,78,68%,59,23%,74,6%,61,29%,23,1%,30,3%,26,3%
Patrick Baldwin Jr.,21.0,WAS,Big,405,14.0,14,51.2%,8,23%,7,10%,46,2%,8,12%,69,10%,99,55%,99,65%
LaMelo Ball,22.2,CHA,Point,710,32.3,37,51.4%,67,32%,42,22%,9,3%,16,25%,60,7%,60,36%,67,43%
Mohamed Bamba,25.5,PHI,Big,665,15.1,34,55.0%,59,55%,15,12%,50,3%,16,15%,45,4%,74,26%,63,30%
Paolo Banchero,21.0,ORL,Big,2797,35.0,11,49.8%,31,35%,70,26%,94,17%,91,43%,37,2%,62,20%,51,22%
Desmond Bane,25.4,MEM,Combo,1440,34.3,76,55.5%,67,28%,31,18%,60,11%,36,28%,27,7%,65,37%,50,43%
Dalano Banton,24.0,POR,Wing,859,28.6,16,48.0%,67,35%,75,22%,60,6%,70,28%,8,5%,57,32%,25,37%
Dominick Barlow,20.4,SAS,Big,373,12.9,24,53.1%,52,50%,92,35%,85,10%,93,45%,48,5%,28,1%,32,5%
Harrison Barnes,31.4,SAC,Forward,2380,29.0,75,57.5%,35,25%,75,24%,33,3%,54,27%,67,21%,60,27%,71,48%
Scottie Barnes,22.3,TOR,Wing,2094,34.9,46,53.0%,70,35%,89,27%,71,9%,87,36%,6,5%,36,24%,12,29%
RJ Barrett,23.4,TOR,Wing,1083,33.9,89,60.2%,98,52%,88,26%,7,1%,63,27%,14,7%,8,14%,4,21%
RJ Barrett,23.4,NYK,Wing,765,29.4,14,47.8%,73,37%,90,28%,51,5%,83,33%,30,12%,18,18%,14,30%
Charles Bassey,23.0,SAS,Big,182,9.6,98,71.9%,81,70%,52,21%,75,6%,55,27%,0,0%,32,3%,26,3%
Keita Bates-Diop,27.8,PHX,Forward,561,15.6,19,48.6%,75,44%,35,15%,13,1%,23,15%,92,28%,21,13%,50,40%
Nicolas Batum,34.9,PHI,Wing,1470,25.8,88,59.7%,34,22%,4,6%,23,2%,4,8%,99,39%,54,31%,91,70%
Darius Bazley,23.4,UTA,Wing,134,22.5,99,66.7%,95,48%,93,29%,0,0%,72,29%,49,16%,1,6%,6,23%
Bradley Beal,30.3,PHX,Combo,1759,33.2,88,58.1%,74,30%,57,23%,88,16%,79,40%,49,10%,15,20%,14,30%
