Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,24.1,NYK,Big,1144,23.4,34,55.4%,42,68%,17,31%,12,0%,12,27%,44,35%,2,19%,9,28%
Precious Achiuwa,24.1,TOR,Big,424,17.0,15,51.5%,28,64%,20,33%,76,50%,23,35%,20,29%,14,29%,13,29%
Bam Adebayo,26.3,MIA,Big,2415,34.0,21,52.9%,39,67%,79,50%,44,33%,68,46%,0,43%,41,34%,52,36%
Ochai Agbaji,23.5,TOR,Wing,610,22.6,7,44.0%,37,61%,3,5%,78,50%,1,12%,6,26%,3,19%,4,23%
Ochai Agbaji,23.5,UTA,Wing,956,18.7,42,52.5%,75,69%,13,28%,78,50%,18,32%,81,44%,5,24%,29,34%
Santi Aldama,22.8,MEM,Big,1614,26.5,23,52.9%,24,63%,48,41%,69,44%,51,42%,23,29%,57,38%,48,35%
Nickeil Alexander-Walker,25.2,MIN,Wing,1887,23.0,72,56.7%,44,63%,66,44%,42,35%,54,42%,84,44%,46,35%,76,40%
Grayson Allen,28.1,PHX,Wing,2505,33.4,97,65.0%,67,67%,52,41%,2,0%,43,40%,94,48%,97,45%,99,46%
Jarrett Allen,25.5,CLE,Big,2441,31.7,81,63.4%,62,72%,84,51%,73,46%,83,50%,0,0%,0,0%,0,0%
Timmy Allen,23.8,MEM,Combo,122,24.4,0,31.6%,0,33%,35,38%,48,40%,29,38%,0,0%,0,0%,0,0%
Jose Alvarado,25.6,NOP,Point,920,17.1,51,53.2%,26,56%,35,40%,14,30%,21,38%,72,46%,38,35%,63,38%
Kyle Anderson,30.1,MIN,Wing,1769,22.4,12,47.4%,31,60%,68,44%,69,45%,70,45%,7,29%,0,9%,6,24%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,35.1,96,62.7%,94,77%,27,37%,31,34%,19,36%,0,0%,8,29%,9,28%
Cole Anthony,23.5,ORL,Point,1775,21.9,28,50.0%,60,62%,65,45%,40,40%,49,44%,13,31%,35,35%,23,34%
OG Anunoby,26.3,TOR,Wing,900,33.3,81,58.6%,88,73%,17,31%,89,61%,57,42%,80,44%,34,33%,59,38%
OG Anunoby,26.3,NYK,Wing,796,34.6,72,56.7%,61,66%,19,31%,28,31%,16,31%,83,44%,26,32%,73,39%
Deni Avdija,22.8,WAS,Wing,2250,30.0,70,56.3%,78,70%,30,34%,31,33%,26,34%,95,48%,36,33%,60,38%
Deandre Ayton,25.3,POR,Big,1783,32.4,48,57.2%,79,75%,74,48%,86,50%,79,49%,0,25%,0,0%,0,11%
