Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,113.8,,53.2%,,14.4%,,29.5%,,21.5,,113.8,,53.2%,,14.4%,,29.5%,,21.5
IND,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Pascal Siakam,Myles Turner,675,83,+13.1,70,120.6,87,58.1%,91,11.3%,9,22.8%,65,21.8,70,107.5,52,52.0%,61,13.9%,35,27.9%,39,20.7
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,652,35,-3.2,43,113.5,22,50.8%,43,13.8%,39,27.1%,74,22.5,26,116.7,30,55.5%,48,13.3%,30,29.3%,61,18.7
DEN,Jamal Murray,Christian Braun,Michael Porter,Aaron Gordon,Nikola Jokic,562,65,+10.9,65,119.9,65,56.7%,48,13.2%,61,31.1%,52,19.0,61,109.0,61,50.9%,13,10.1%,61,25.7%,87,14.9
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Jalen Williams,Chet Holmgren,Isaiah Hartenstein,409,52,+2.7,22,110.5,26,51.0%,96,9.5%,48,28.0%,17,15.3,65,107.8,70,50.3%,43,12.9%,39,27.4%,70,17.6
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Julius Randle,Rudy Gobert,357,91,+17.4,61,117.1,52,53.9%,35,14.3%,78,35.4%,35,17.0,91,99.7,83,48.2%,52,13.6%,48,27.0%,96,10.6
OKC,Shai Gilgeous-Alexander,Luguentz Dort,Jalen Williams,Alex Caruso,Chet Holmgren,207,39,-2.6,52,114.0,13,49.1%,78,11.6%,22,25.7%,100,38.7,30,116.6,4,62.1%,100,22.0%,0,39.7%,43,20.6
LAC,James Harden,Kris Dunn,Norman Powell,Kawhi Leonard,Ivica Zubac,204,13,-11.5,30,111.3,61,54.9%,65,12.3%,30,26.7%,0,13.6,13,122.8,26,55.5%,17,10.9%,9,37.4%,91,13.6
ORL,Cory Joseph,Kentavious Caldwell-Pope,Franz Wagner,Paolo Banchero,Wendell Carter,203,43,-2.0,0,100.0,0,43.8%,52,12.8%,52,28.1%,30,16.9,87,102.0,65,50.3%,78,16.6%,70,23.2%,48,20.2
DEN,Russell Westbrook,Jamal Murray,Christian Braun,Aaron Gordon,Nikola Jokic,199,61,+9.2,78,123.6,74,56.9%,57,12.6%,65,33.0%,87,27.6,43,114.4,39,54.4%,22,10.9%,78,22.2%,65,18.0
HOU,Fred VanVleet,Amen Thompson,Jalen Green,Dillon Brooks,Alperen Sengun,198,78,+12.9,74,123.2,70,56.8%,74,11.6%,57,30.5%,57,19.5,57,110.3,48,52.8%,4,9.3%,57,26.1%,100,9.7
DET,Cade Cunningham,Ausar Thompson,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,167,74,+12.6,17,110.2,9,48.0%,22,16.8%,96,40.2%,83,24.8,96,97.6,91,46.3%,9,9.7%,96,18.5%,78,16.2
LAL,Luka Doncic,Austin Reaves,Dorian Finney-Smith,Rui Hachimura,LeBron James,155,9,-13.1,26,111.0,39,53.6%,17,17.4%,35,26.9%,39,17.4,9,124.0,57,51.3%,57,13.6%,4,38.5%,13,22.2
OKC,Shai Gilgeous-Alexander,Cason Wallace,Luguentz Dort,Jalen Williams,Chet Holmgren,147,100,+25.8,96,128.6,96,59.1%,87,11.6%,83,36.8%,61,19.7,83,102.8,87,47.6%,87,17.4%,26,31.6%,22,21.3
OKC,Cason Wallace,Aaron Wiggins,Jalen Williams,Alex Caruso,Isaiah Hartenstein,138,87,+14.4,87,125.4,78,57.2%,78,11.6%,91,38.6%,26,16.7,52,110.9,43,54.0%,96,21.2%,13,35.5%,4,27.7
GSW,Stephen Curry,Brandin Podziemski,Buddy Hield,Jimmy Butler,Draymond Green,130,70,+11.8,83,124.6,91,59.1%,100,9.2%,4,22.2%,22,15.7,48,112.8,78,49.2%,39,12.0%,17,33.3%,35,21.0
MIN,Anthony Edwards,Donte DiVincenzo,Nickeil Alexander-Walker,Julius Randle,Naz Reid,130,0,-16.7,39,113.1,17,50.4%,13,17.7%,43,27.3%,91,29.2,4,129.8,0,64.1%,65,14.5%,65,23.5%,9,27.3
NYK,Jalen Brunson,Josh Hart,Mikal Bridges,OG Anunoby,Mitchell Robinson,129,4,-14.8,0,100.0,35,53.5%,39,14.0%,17,25.4%,78,23.2,39,114.8,22,56.0%,74,16.4%,74,23.1%,0,35.0
NYK,Jalen Brunson,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,Mitchell Robinson,128,22,-3.7,57,116.4,30,52.9%,9,18.0%,100,43.1%,48,18.3,17,120.2,35,55.1%,30,11.6%,43,27.3%,26,21.2
CLE,Darius Garland,Donovan Mitchell,Max Strus,Evan Mobley,Jarrett Allen,125,30,-3.3,35,112.0,43,53.7%,30,15.2%,70,33.3%,70,22.2,35,115.3,9,61.2%,35,11.9%,100,14.3%,74,17.3
IND,Tyrese Haliburton,Andrew Nembhard,Aaron Nesmith,Obi Toppin,Myles Turner,124,26,-3.5,100,129.0,100,59.9%,70,12.1%,13,24.6%,43,18.1,0,132.5,13,60.2%,26,11.1%,17,33.3%,26,21.2
MIL,Kevin Porter,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Bobby Portis,122,48,+0.9,13,107.4,43,53.7%,61,12.3%,0,21.5%,9,14.8,74,106.5,96,45.0%,0,7.3%,87,20.0%,57,20.2
BOS,Jrue Holiday,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,118,57,+8.3,0,100.0,4,47.7%,26,16.1%,26,26.2%,13,15.0,100,91.7,100,44.8%,91,17.5%,52,27.0%,83,15.2
MIN,Anthony Edwards,Donte DiVincenzo,Nickeil Alexander-Walker,Naz Reid,Rudy Gobert,108,17,-5.1,48,113.9,57,54.5%,0,20.4%,87,36.8%,4,14.0,22,119.0,17,56.7%,70,15.0%,91,18.8%,52,20.2
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Naz Reid,108,96,+24.9,91,127.8,83,58.0%,4,18.5%,74,34.0%,96,30.9,78,102.9,74,50.0%,83,17.1%,78,22.2%,17,21.3
